1,construction of new green field airport at hollongi itanagar arunachal pradesh (aai) (n04000092),2-2019,8/2022 (jun-2025) {6/2025},645.63 (732.00) {732.00},693.71,99.72
2,subansiri lower h.e.p (8x250 mw) (nhpc) (nhpc) (180100221),9-2003,9/2010 (n.a.) {5/2026},6,285.33 (n.a.) {26,075.54},24,213.84,96.49
3,dibang multipurpose project 2880 mw arunachal pradesh (nhpc) (n18000362),2-2023,2/2032 (n.a.) {2/2032},31,876.39 (n.a.) {31,876.39},3,306.40,15.74
4,two laning of joram koloriang road (nh 713) on epc basis from design km. 138+000 to km. 154+036 [ex (nhidcl) (n24000683),2-2017,11/2023 (mar-2024) {12/2024},180.57 (244.10) {180.57},160.46,96.62
5,construction of 2-lane road with paved shoulders from km16.00 of roing-hunli section to km 21.500 of (nhidcl) (n24000946),3-2017,3/2022 (jun-2025) {12/2025},1,718.59 (1,718.59) {1,718.59},728.21,73.64
6,two-laning of hayuliang? hawai bypass road on epc basis from design km. 51.825 to km. 63.131 existi (nhidcl) (n24000979),1-2017,5/2023 (may-2023) {3/2025},256.66 (n.a.) {256.66},0.00,63.59
7,construction of 2-laning with hard shoulders of arrowa-khupa- hayuliang section of nh-113 from ch.68. (nhidcl) (n24001244),8-2020,4/2022 (feb-2025) {2/2025},301.06 (n.a.) {301.06},198.22,81.06
8,construction of 2 lane road of potin to pangin section of nh 13 from km 163.59 to km 206.66 (package (morth) (n24001297),3-2019,3/2027 (n.a.) {3/2027},450.65 (n.a.) {450.65},398.18,95.84
9,4 laning of itanagar to bandardewa section of nh-415 from km 40+430 to km 51+735 (package b) on epc (morth) (n24001375),6-2020,3/2027 (n.a.) {3/2027},496.47 (n.a.) {496.47},194.62,42.69
10,joram ? koloriang road from existing km 50.050 to km 70.00 (pkg-3) (nhidcl) (n24001390),8-2020,4/2022 (aug-2024) {9/2024},228.71 (n.a.) {228.71},98.86,99.52
11,joram ? koloriang road from existing km122.600 to km138.00 (pkg-7) (nhidcl) (n24001393),8-2020,4/2022 (feb-2024) {6/2025},184.88 (n.a.) {184.88},99.32,97.42
12,hunli to hayuliang pkg-1 (nhidcl) (n24002222),2-2024,2/2028 (n.a.) {2/2028},1,262.43 (n.a.) {1,262.43},12.12,2.35
13,hunli to ithun bridge section (nhidcl) (n24002223),2-2024,1/2027 (n.a.) {1/2027},275.50 (n.a.) {275.50},7.61,6.01
14,pango to jorging road pkg-1 (nhidcl) (n24002224),1-2024,7/2027 (n.a.) {7/2027},898.19 (n.a.) {898.19},7.08,4.06
15,construction of new integrated terminal building at lgbi airport guwahati (aai) (n04000083),12-2016,3/2021 (aug-2025) {8/2025},1,142.00 (n.a.) {2,333.00},1,884.13,87.93
16,tikak extension ocp - 0.2 mty (cil) (n06000290),7-2022,11/2030 (n.a.) {11/2030},159.77 (n.a.) {159.77},81.45,0
17,tirap ocp (cil) (n06000291),11-2022,11/2027 (n.a.) {11/2027},289.46 (n.a.) {289.46},105.59,0
18,all india institute of medical science at guwahati, assam (hites) (n21000027),5-2017,5/2021 (apr-2023) {6/2025},875.00 (873.92) {860.00},787.90,99.52
19,borholla ggs life extension project (ongc) (n16000532),9-2023,5/2026 (n.a.) {5/2026},198.70 (n.a.) {198.70},99.52,23.8
20,power recovery turbine in pfccu (nrl) (n16000510),3-2023,7/2025 (n.a.) {7/2025},293.50 (n.a.) {293.50},97.22,91
21,dcu revamp project (nrl) (n16000511),8-2021,3/2025 (n.a.) {10/2025},370.00 (n.a.) {370.00},255.51,56.1
22,pipeline network project rudrasagar (ongc) (n16000528),1-2023,4/2026 (n.a.) {4/2026},344.99 (n.a.) {344.99},172.04,45.3
23,development of surface facilities for production and evacuation of crude oil and natural gas from na (oil) (n16000331),1-2018,2/2020 (dec-2024) {6/2025},543.91 (726.93) {726.93},491.56,93.95
24,numaligarh refinery expansion project 6 mmtpa refinary (nrl) (n16000379),1-2019,10/2024 (n.a.) {12/2025},12,366.00 (n.a.) {18,968.00},16,013.82,74.01
25,numaligarh refinery expansion project coit and pipelines (nrl) (n16000394),1-2019,10/2024 (n.a.) {9/2025},10,228.00 (n.a.) {9,058.00},9,447.83,85.06
26,expansion of guwahati refinery from 1 to 1.2 mmtpa along with installation of catalytic reforming un (iocl) (n16000414),5-2021,10/2023 (may-2026) {5/2026},412.00 (595.20) {595.20},396.08,82.8
27,revamping of facilities at existing guwahati terminal, assam (iocl) (n16000441),3-2022,7/2026 (sep-2026) {9/2026},277.00 (n.a.) {277.00},180.17,66.4
28,upgradation of facilities of numaligarh-siliguri product pipeline (nspl) for transportation of addit (oil) (n16000449),6-2021,12/2024 (apr-2025) {7/2025},860.00 (n.a.) {860.00},535.46,96.5
29,project to construct a field gas gathering station at baghjan area for collection,processing (oil) (n16000450),12-2020,7/2024 (mar-2024) {6/2025},430.76 (n.a.) {430.76},319.86,83.66
30,capacity expansion of digboi refinery from 0.65 to 1.0 mmtpa (iocl) (n16000457),6-2022,10/2025 (n.a.) {3/2026},768.00 (n.a.) {768.00},86.75,33.1
31,construction of lpg facilities at kamardanga, assam (hpcl) (n16000484),3-2023,7/2027 (jul-2027) {7/2027},156.36 (156.36) {156.36},41.02,31.5
32,setting up of new rail fed pol facility at kamardanga, assam (hpcl) (n16000494),3-2023,7/2027 (jul-2027) {7/2027},384.04 (n.a.) {384.04},94.00,34.4
33,bongaigaon-goalpara-guwahati (176 km) (nfr) (n22000388),4-2015,3/2026 (n.a.) {3/2027},4,059.65 (n.a.) {4,983.94},3,652.94,92.31
34,bilasipura- guwahati road pkg-1 (nhidcl) (n24002225),2-2024,8/2027 (n.a.) {8/2027},1,081.15 (n.a.) {1,081.15},33.93,2.76
35,silchar-jiribam pkg-1 (nhidcl) (n24002226),1-2024,1/2028 (n.a.) {1/2028},957.95 (n.a.) {957.95},0.00,16.25
36,bilasipura- guwahati road pkg-2 (nhidcl) (n24002229),11-2023,6/2027 (n.a.) {6/2027},1,338.61 (n.a.) {1,338.61},0.50,0
37,badarpur ? churaibari pkg-6 (nhidcl) (n24002230),3-2024,3/2027 (n.a.) {3/2027},870.00 (n.a.) {870.00},0.00,0
38,karimgani - sutarkandi section on silchar-churaibari pkg-7 (nhidcl) (n24002231),2-2024,2/2027 (n.a.) {2/2027},791.79 (n.a.) {791.79},0.00,0
39,construction of 4 lane gauripur bypass on nh-17 in the state of assam (morth) (n24002237),3-2024,10/2026 (n.a.) {10/2026},421.15 (n.a.) {421.15},0.00,0
40,construction of 2 lane barpeta bypass from km 77+900(baradi) to km 86+150( deurikuchi) (length=8.25k (morth) (n24002238),3-2023,8/2026 (n.a.) {8/2026},173.65 (n.a.) {173.65},0.00,0
41,silchar- churaibari pkg-5 (nhidcl) (n24002243),2-2024,10/2027 (n.a.) {10/2027},1,258.13 (n.a.) {1,258.13},0.00,0
42,construction of 4-lane panchgram bypass from design chainage km 15+500 on nh-37 (old nh-53) at kalin (nhidcl) (n24002154),3-2023,2/2027 (n.a.) {2/2027},728.97 (n.a.) {728.97},279.87,42.68
